# N	Tcl	Tcl setup	Rbc	Rbc setup	NAP	NAP setup	vexpr	vexpr setup	vexprQR	vexprQR setup
5.0 4.505366491167544 0.0 2.6250315518422407 24.0 19.240040704796478 47.0 2.1548891215543926 42.6 1.9500004319978401 5.6
5.0 4.507407857960709 0.0 2.5487957860210697 47.4 19.309900646496764 31.2 2.0793355333223333 7.4 1.9302387138064308 12.8
10.0 4.086025146748533 0.0 1.3391640083599163 24.0 9.782578854211458 19.8 1.0889481345186547 4.1 0.9617275847241528 5.1
20.0 3.774618179636407 0.0 0.7678308483830323 14.45 5.003910376792464 15.25 0.5528182586348273 4.1 0.5221317553648926 1.35
50.0 3.695236429178541 0.0 0.35477113944302785 6.66 2.0856081185940702 10.74 0.2301695635218239 2.04 0.23428213789310537 0.98
100.0 3.6962881671832815 0.0 0.23666120587941206 2.46 1.362603778622138 6.72 0.1534176202379762 1.02 0.17166603839616038 0.4
200.0 3.7273469146170766 0.0 0.17424314937012597 2.375 0.6637481083783243 7.845 0.08299203559288143 0.925 0.10173408918216356 0.245
500.0 3.555432447776112 0.0 0.13608595102448778 1.218 0.3371264057971014 7.076 0.0530907976011994 0.488 0.07309236781609196 0.104
1000.0 3.58177114985015 0.0 0.11955322677322677 2.208 0.24320453646353646 6.042 0.0446954995004995 0.54 0.05633823076923077 0.028
2000.0 3.563783959081836 0.0 0.11280735229540918 2.3965 0.19328729740518963 5.6065 0.041755875249501 0.4735 0.052923203592814376 0.0205
5000.0 3.5567544029850744 0.0 0.10792489353233829 1.3782 0.16518041890547264 4.1286 0.03343003283582089 0.2986 0.05077249751243781 0.0104
10000.0 3.5724581693069313 0.0 0.10760009504950496 1.3799 0.15556454257425742 3.7929 0.03122719306930693 0.2445 0.05947476435643565 0.0067
20000.0 3.534023526470588 0.0 0.10693372647058823 1.18935 0.16709506274509803 4.30375 0.03200952058823529 0.3005 0.050709581372549016 0.00245
50000.0 3.5617362504761907 0.0 0.10918080857142858 1.08028 0.14858786095238094 3.55952 0.03529737523809524 0.24866 0.0503247819047619 0.00074
100000.0 3.589913447272727 0.0 0.1102746290909091 1.03013 NaN NaN 0.03421514363636364 0.25018 0.05272978454545454 0.0005
200000.0 3.591331309166667 0.0 0.13202510333333334 1.031445 NaN NaN 0.0376125275 0.22047 0.05749883583333333 0.00025
500000.0 3.550755864666667 0.0 0.13686751733333336 1.02409 NaN NaN 0.04645684866666667 0.225086 0.056647804 9.8e-5
1000000.0 3.5670300619999997 0.0 0.13648480999999998 1.076461 NaN NaN 0.046184461499999996 0.220742 0.057114435 3e-5
